competitor,feature,mentions,pos,neg,sentiment,freq_norm,score
SAP Business One,Accounting & GL,1,0,0,0.0,0.2891,2.49
SAP Business One,AR/AP & Invoicing,15,1,0,1.0,0.6292,4.11
SAP Business One,Inventory & Warehouse,19,5,0,1.0,0.8644,4.67
SAP Business One,Manufacturing & MRP,9,5,0,1.0,0.7966,4.51
SAP Business One,Sales & CRM,71,34,13,0.4468,0.8857,4.28
SAP Business One,Purchasing & Procurement,31,2,1,0.3333,0.8648,4.14
SAP Business One,Payroll & HR,37,27,11,0.4211,0.8255,4.12
SAP Business One,Reporting & Analytics,50,24,1,0.92,0.9725,4.87
SAP Business One,Tax & Compliance (GST/VAT),12,4,0,1.0,0.6344,4.12
SAP Business One,Automation & Workflow,13,3,1,0.5,0.7154,3.92
SAP Business One,Integrations & API,28,12,3,0.6,0.8159,4.24
SAP Business One,Multi-company / Branch,0,0,0,0.0,0.0,1.8
SAP Business One,Customization & Extensibility,65,35,13,0.4583,0.8635,4.24
SAP Business One,Usability & UX,67,35,9,0.5909,0.7857,4.16
SAP Business One,Support & Service,50,30,12,0.4286,0.8716,4.23
SAP Business One,Pricing & Value,55,31,16,0.3191,0.8799,4.17
SAP Business One,Performance & Reliability,14,6,3,0.3333,0.8761,4.17
SAP Business One,Implementation & Onboarding,7,0,0,0.0,0.7062,3.49
Odoo,Accounting & GL,2,0,0,0.0,0.4582,2.9
Odoo,AR/AP & Invoicing,22,1,2,-0.3333,0.7115,3.24
Odoo,Inventory & Warehouse,31,0,4,-1.0,1.0,3.4
Odoo,Manufacturing & MRP,17,0,0,0.0,1.0,4.2
Odoo,Sales & CRM,124,51,26,0.3247,1.0,4.46
Odoo,Purchasing & Procurement,54,7,4,0.2727,1.0,4.42
Odoo,Payroll & HR,45,27,10,0.4595,0.8688,4.25
Odoo,Reporting & Analytics,24,10,2,0.6667,0.7962,4.24
Odoo,Tax & Compliance (GST/VAT),11,2,0,1.0,0.6146,4.08
Odoo,Automation & Workflow,19,7,3,0.4,0.8121,4.07
Odoo,Integrations & API,48,16,4,0.6,0.943,4.54
Odoo,Multi-company / Branch,0,0,0,0.0,0.0,1.8
Odoo,Customization & Extensibility,127,57,24,0.4074,1.0,4.53
Odoo,Usability & UX,100,50,9,0.6949,0.8593,4.42
Odoo,Support & Service,73,47,23,0.3429,0.9542,4.36
Odoo,Pricing & Value,96,44,23,0.3134,1.0,4.45
Odoo,Performance & Reliability,9,4,3,0.1429,0.7449,3.7
Odoo,Implementation & Onboarding,13,3,2,0.2,0.8963,4.11
ERPNext,Accounting & GL,1,0,0,0.0,0.2891,2.49
ERPNext,AR/AP & Invoicing,6,0,0,0.0,0.4416,2.86
ERPNext,Inventory & Warehouse,16,2,1,0.3333,0.8175,4.03
ERPNext,Manufacturing & MRP,17,0,0,0.0,1.0,4.2
ERPNext,Sales & CRM,51,21,8,0.4483,0.8183,4.12
ERPNext,Purchasing & Procurement,26,3,1,0.5,0.8225,4.17
ERPNext,Payroll & HR,24,13,7,0.3,0.7304,3.79
ERPNext,Reporting & Analytics,17,0,0,0.0,0.7149,3.52
ERPNext,Tax & Compliance (GST/VAT),3,0,0,0.0,0.3429,2.62
ERPNext,Automation & Workflow,4,0,0,0.0,0.4363,2.85
ERPNext,Integrations & API,9,0,0,0.0,0.5579,3.14
ERPNext,Multi-company / Branch,0,0,0,0.0,0.0,1.8
ERPNext,Customization & Extensibility,52,24,7,0.5484,0.8183,4.2
ERPNext,Usability & UX,43,16,4,0.6,0.7046,3.97
ERPNext,Support & Service,40,18,7,0.44,0.8233,4.13
ERPNext,Pricing & Value,39,17,7,0.4167,0.8064,4.07
ERPNext,Performance & Reliability,8,4,2,0.3333,0.7108,3.77
ERPNext,Implementation & Onboarding,7,4,2,0.3333,0.7062,3.76
TallyPrime,Accounting & GL,10,6,1,0.7143,1.0,4.77
TallyPrime,AR/AP & Invoicing,46,18,1,0.8947,0.8737,4.61
TallyPrime,Inventory & Warehouse,29,9,0,1.0,0.9814,4.96
TallyPrime,Manufacturing & MRP,2,0,0,0.0,0.3801,2.71
TallyPrime,Sales & CRM,55,11,1,0.8333,0.8337,4.47
