stock_item_name,qty,unit,rate,amount,amount_abs
"Card, Book, Gift And Other Items",6212,PCS,25.01,-155382.14,155382.14
AIRTEL,,,,-6378.36,6378.36
Bill Book,,,,-800.00,800.00
Card,1,PCS,460.00,-460.00,460.00
CATRIDGE,2,PCS,635.59,-1271.18,1271.18
Envelope,,,,-2000.00,2000.00
Flex,50,PCS,550.00,-27500.00,27500.00
Letterpad,,,,-1800.00,1800.00
Mug Printing,,,,-700.00,700.00
Pad (Book),1977,PCS,17.00,-33609.00,33609.00
Pen,995,PCS,6.00,-5970.00,5970.00
P.S.,4,PCS,323.81,-1295.24,1295.24
Saree,8,PCS,442.86,-3542.88,3542.88
Shade Card,2975,PCS,20.00,-59500.00,59500.00
Sticker,100,PCS,6.00,-600.00,600.00
TONNER POWDER SAMSUNG,2,PCS,254.24,-508.48,508.48
Transperent Sticker,,,,-70.00,70.00
T- Shirt,97,PCS,15.00,-1455.00,1455.00
UPS ZEBRONIC (FRONTECH),1,PCS,1822.00,-1822.00,1822.00
Visiting Card,,,,-6100.00,6100.00
EMULSION INOX SPECIAL SHADE 10 LTR / 20 LTR,,,,-21760.00,21760.00
INOX Special Shade 10 Ltr.(SIGNAL RED),,,,-4480.00,4480.00
INOX Special Shade 20kg (SIGNAL RED),2,PCS,2160.00,-4320.00,4320.00
INOX Special Shade 20kg (YELLOW),6,PCS,2160.00,-12960.00,12960.00
EMULSION SPECAIL SHADES (INOX),6306,PCS,119.15,-751347.42,751347.42
INOX Special Shade 10Ltr.(LIME CREZY),1,PCS,1120.00,-1120.00,1120.00
INOX Special Shade 10Ltr. (MEERY PINK),5,PCS,1120.00,-5600.00,5600.00
INOX Special Shade 10Ltr. (NUT BROWN),1,PCS,1120.00,-1120.00,1120.00
Inox Special Shade 10 Ltr. ( PARROT GREEN),2,PCS,1120.00,-2240.00,2240.00
INOX Special Shade 10 Ltr. (TERRACOTTA),2,PCS,1120.00,-2240.00,2240.00
INOX Special Shade 10Ltr. (YELLOW),7,PCS,2720.00,-19040.00,19040.00
INOX Special Shade 1Ltr. (BLACK),21,PCS,120.00,-2520.00,2520.00
INOX Special Shade 1Ltr. (JOLLY HOLLY),102,PCS,125.00,-12750.00,12750.00
INOX Special Shade 1Ltr. (LM. SOUFFLE),78,PCS,125.00,-9750.00,9750.00
INOX Special Shade 1Ltr. (MEGENTA),4,PCS,125.00,-500.00,500.00
INOX Special Shade 1Ltr. (ORANGE),30,PCS,125.00,-3750.00,3750.00
Inox Special Shade 1 Ltr. (ORANGE VISION),160,PCS,125.00,-20000.00,20000.00
INOX Special Shade 1 Ltr.(OXFORD BLUE),95,PCS,125.00,-11875.00,11875.00
Inox Special Shade 1Ltr. (PARROT GREEN),37,PCS,120.00,-4440.00,4440.00
INOX Special Shade 1Ltr. (PINK),2,PCS,125.00,-250.00,250.00
INOX Special Shade 1Ltr. (PURPLE),164,PCS,225.61,-37000.00,37000.00
INOX Special Shade 1Ltr. (SIGNAL RED),404,PCS,39.01,-15761.36,15761.36
INOX Special Shade 1Ltr. (SKY BLUE),12,PCS,125.00,-1500.00,1500.00
INOX Special Shade 1 LTR. (SOOTHING SAPPHIRE),91,PCS,125.00,-11375.00,11375.00
Inox Special Shade 1 Ltr. (SPORTY YELLOW),158,PCS,125.00,-19750.00,19750.00
INOX Special Shade 1Ltr. (SUNRISE),405,PCS,125.00,-50625.00,50625.00
INOX Special Shade 1Ltr. (TERRACOTTA),79,PCS,479.43,-37875.00,37875.00
Inox Special Shade 1 Ltr. ( TWILIGHT ZONE),141,PCS,125.00,-17625.00,17625.00
INOX Special Shade 1Ltr. (YELLOW),11,PCS,125.00,-1375.00,1375.00
INOX Special Shade 4Ltr. (JOLLY HOLLY),32,PCS,465.00,-14880.00,14880.00
INOX Special Shade 4Ltr. (NUT BROWN),8,PCS,465.00,-3720.00,3720.00
INOX Special Shade 4Ltr. (ORANGE),4,PCS,465.00,-1860.00,1860.00
Inox Special Shade 4 Ltr. ( PARROT GREEN),8,PCS,465.00,-3720.00,3720.00
INOX Special Shade 4Ltr. (PINK),1,PCS,465.00,-465.00,465.00
INOX Special Shade 4 Ltr. (SIGNAL RED),92,PCS,566.09,-52080.00,52080.00
INOX Special Shade 4Ltr. (SUNRISE),34,PCS,465.00,-15810.00,15810.00
INOX Special Shade 4 Ltr. (TERRACOTTA),35,PCS,465.00,-16275.00,16275.00
INOX Special Shade 4Ltr. (WHITE),62,PCS,465.00,-28830.00,28830.00
INOX Special Shade 4Ltr. (YELLOW),64,PCS,465.00,-29760.00,29760.00
INOX Special Shade 500ml. (BLACK),100,PCS,75.00,-7500.00,7500.00
INOX Special Shade 500Ml (JOLLY HOLLY),162,PCS,87.59,-14190.00,14190.00
INOX Special Shade 500ml. (LM. SOUFFLE),302,PCS,70.00,-21140.00,21140.00
INOX Special Shade 500ml. (MERRY PINK),204,PCS,70.00,-14280.00,14280.00
INOX Special Shade 500 ML. (OXFORD BLUE),48,PCS,75.00,-3600.00,3600.00
INOX Special Shade 500ml. (PARROT GREEN),180,PCS,70.00,-12600.00,12600.00
INOX Special Shade 500ml. (PURPLE),240,PCS,78.75,-18900.00,18900.00
INOX Special Shade 500ml. (SIGNAL RED),1393,PCS,76.29,-106275.00,106275.00
INOX Special Shade 500ml. (SOOTHING SAPPHIRE),48,PCS,87.50,-4200.00,4200.00
INOX Special Shade 500ml. (SUNRISE),593,PCS,78.16,-46350.00,46350.00
INOX Special Shade 500ml. (TERRACOTTA),596,PCS,61.88,-36881.06,36881.06
INOX Special Shade 500ml. (YELLOW),88,PCS,90.34,-7950.00,7950.00
EMULSION SPECAIL SHADES (SAFARI),5711,PCS,150.95,-862092.99,862092.99
SAFARI Special Shade 1Ltr. (JOLLY HOLLY),142,PCS,144.55,-20525.45,20525.45
Safari Special Shade 1Ltr. ( LEMON SHOUFFLE),117,PCS,155.00,-18135.00,18135.00
SAFARI Special Shade 1Ltr. (PINK),150,PCS,161.20,-24180.00,24180.00
Safari Special Shade 1 LTR. (PURPLE),108,PCS,165.00,-17820.00,17820.00
SAFARI Special Shade 1Ltr. (SIGNAL RED),811,PCS,165.14,-133930.58,133930.58
SAFARI Special Shade 1Ltr. (SOOTHING SAPPHIRE),150,PCS,164.12,-24617.65,24617.65
SAFARI Special Shade 1Ltr. (SUNRISE),499,PCS,168.87,-84268.50,84268.50
SAFARI Special Shade 1Ltr. (TERRACOTTA),337,PCS,159.88,-53879.80,53879.80
SAFARI Special Shade 1 Ltr. (WHITE),18,PCS,155.00,-2790.00,2790.00
SAFARI Special Shade 1Ltr. (YELLOW),206,PCS,174.08,-35861.01,35861.01
SAFARI Special Shade 4Ltr. (JOLLY HOLLY),64,PCS,608.00,-38912.00,38912.00
Safari Special Shade 4Ltr. ( LEMON SHOUFFLE),25,PCS,608.00,-15200.00,15200.00
Safari Special Shade 4Ltr. ( OXFORD BLUE),13,PCS,608.00,-7904.00,7904.00
Safari Special Shade 4Ltr. ( SIGNAL RED),2,PCS,648.00,-1296.00,1296.00
Safari Special Shade 4Ltr. (SOOTHING SAPPHIRE),63,PCS,608.00,-38304.00,38304.00
SAFARI Special Shade 4LTR. ( SUNRISE),10,PCS,648.00,-6480.00,6480.00
SAFARI Special Shade 4Ltr. (TERRACOTTA),31,PCS,648.00,-20088.00,20088.00
SAFARI Special Shade 4Ltr. (WHITE),6,PCS,608.00,-3648.00,3648.00
Safari Special Shade 4Ltr. ( YELLOW),16,PCS,648.00,-10368.00,10368.00
Safari Special Shade 500 ML. (JOLLY HOLLY),60,PCS,95.00,-5700.00,5700.00
Safari Special Shade 500 ML. (OXFORD BLUE),252,PCS,90.00,-22680.00,22680.00
Safari Special Shade 500 ML. (PURPLE),79,PCS,95.00,-7505.00,7505.00
Safari Special Shade 500 ML. (SIGNAL RED),578,PCS,95.00,-54910.00,54910.00
Safari Special Shade 500 ML. (SOOTHING BLUE),144,PCS,90.00,-12960.00,12960.00
Safari Special Shade 500 ML. (SUNRISE),528,PCS,95.00,-50160.00,50160.00
Safari Special Shade 500 ML. (TERRACOTTA),648,PCS,95.00,-61560.00,61560.00
Safari Special Shade 500 ML. (YELLOW),216,PCS,95.00,-20520.00,20520.00
Safari Special Shase 1Ltr. ( OXFORD BLUE),438,PCS,155.00,-67890.00,67890.00
INOX DISTEMPER BUCKET,458,PCS,341.08,-156214.00,156214.00
INOX Acrylic Distemper 10kg (AQUAMARINE),30,PCS,390.00,-11700.00,11700.00
INOX Acrylic Distemper 10kg (JAIPURIA PINK),26,BKT,235.00,-6110.00,6110.00
INOX Acrylic Distemper 10kg (LIGHT GREEN),22,PCS,235.00,-5170.00,5170.00
INOX Acrylic Distemper 10kg (LIRIL),1,PCS,390.00,-390.00,390.00
INOX Acrylic Distemper 10kg (PALE ROSE),4,PCS,235.00,-940.00,940.00
