stock_item_name,stock_group,stock_category,base_unit,alternate_unit,conversion_factor,gst_rate,hsn_code,item_code,barcode,brand,closing_qty,closing_rate,closing_amount,closing_amount_abs
"Card, Book, Gift And Other Items",,,PCS,,,,,,,,6212,25.01,-155382.14,155382.14
AIRTEL,,,,,,,,,,,,,-6378.36,6378.36
Bill Book,,,,,,,,,,,,,-800.00,800.00
Card,,,PCS,,,,,,,,1,460.00,-460.00,460.00
CATRIDGE,,,PCS,,,,,,,,2,635.59,-1271.18,1271.18
Envelope,,,,,,,,,,,,,-2000.00,2000.00
Flex,,,PCS,,,,,,,,50,550.00,-27500.00,27500.00
Letterpad,,,,,,,,,,,,,-1800.00,1800.00
Mug Printing,,,,,,,,,,,,,-700.00,700.00
Pad (Book),,,PCS,,,,,,,,1977,17.00,-33609.00,33609.00
Pen,,,PCS,,,,,,,,995,6.00,-5970.00,5970.00
P.S.,,,PCS,,,,,,,,4,323.81,-1295.24,1295.24
Saree,,,PCS,,,,,,,,8,442.86,-3542.88,3542.88
Shade Card,,,PCS,,,,,,,,2975,20.00,-59500.00,59500.00
Sticker,,,PCS,,,,,,,,100,6.00,-600.00,600.00
TONNER POWDER SAMSUNG,,,PCS,,,,,,,,2,254.24,-508.48,508.48
Transperent Sticker,,,,,,,,,,,,,-70.00,70.00
T- Shirt,,,PCS,,,,,,,,97,15.00,-1455.00,1455.00
UPS ZEBRONIC (FRONTECH),,,PCS,,,,,,,,1,1822.00,-1822.00,1822.00
Visiting Card,,,,,,,,,,,,,-6100.00,6100.00
EMULSION INOX SPECIAL SHADE 10 LTR / 20 LTR,,,,,,,,,,,,,-21760.00,21760.00
INOX Special Shade 10 Ltr.(SIGNAL RED),,,,,,,,,,,,,-4480.00,4480.00
INOX Special Shade 20kg (SIGNAL RED),,,PCS,,,,,,,,2,2160.00,-4320.00,4320.00
INOX Special Shade 20kg (YELLOW),,,PCS,,,,,,,,6,2160.00,-12960.00,12960.00
EMULSION SPECAIL SHADES (INOX),,,PCS,,,,,,,,6306,119.15,-751347.42,751347.42
INOX Special Shade 10Ltr.(LIME CREZY),,,PCS,,,,,,,,1,1120.00,-1120.00,1120.00
INOX Special Shade 10Ltr. (MEERY PINK),,,PCS,,,,,,,,5,1120.00,-5600.00,5600.00
INOX Special Shade 10Ltr. (NUT BROWN),,,PCS,,,,,,,,1,1120.00,-1120.00,1120.00
Inox Special Shade 10 Ltr. ( PARROT GREEN),,,PCS,,,,,,,,2,1120.00,-2240.00,2240.00
INOX Special Shade 10 Ltr. (TERRACOTTA),,,PCS,,,,,,,,2,1120.00,-2240.00,2240.00
INOX Special Shade 10Ltr. (YELLOW),,,PCS,,,,,,,,7,2720.00,-19040.00,19040.00
INOX Special Shade 1Ltr. (BLACK),,,PCS,,,,,,,,21,120.00,-2520.00,2520.00
INOX Special Shade 1Ltr. (JOLLY HOLLY),,,PCS,,,,,,,,102,125.00,-12750.00,12750.00
INOX Special Shade 1Ltr. (LM. SOUFFLE),,,PCS,,,,,,,,78,125.00,-9750.00,9750.00
INOX Special Shade 1Ltr. (MEGENTA),,,PCS,,,,,,,,4,125.00,-500.00,500.00
INOX Special Shade 1Ltr. (ORANGE),,,PCS,,,,,,,,30,125.00,-3750.00,3750.00
Inox Special Shade 1 Ltr. (ORANGE VISION),,,PCS,,,,,,,,160,125.00,-20000.00,20000.00
INOX Special Shade 1 Ltr.(OXFORD BLUE),,,PCS,,,,,,,,95,125.00,-11875.00,11875.00
Inox Special Shade 1Ltr. (PARROT GREEN),,,PCS,,,,,,,,37,120.00,-4440.00,4440.00
INOX Special Shade 1Ltr. (PINK),,,PCS,,,,,,,,2,125.00,-250.00,250.00
INOX Special Shade 1Ltr. (PURPLE),,,PCS,,,,,,,,164,225.61,-37000.00,37000.00
INOX Special Shade 1Ltr. (SIGNAL RED),,,PCS,,,,,,,,404,39.01,-15761.36,15761.36
INOX Special Shade 1Ltr. (SKY BLUE),,,PCS,,,,,,,,12,125.00,-1500.00,1500.00
INOX Special Shade 1 LTR. (SOOTHING SAPPHIRE),,,PCS,,,,,,,,91,125.00,-11375.00,11375.00
Inox Special Shade 1 Ltr. (SPORTY YELLOW),,,PCS,,,,,,,,158,125.00,-19750.00,19750.00
INOX Special Shade 1Ltr. (SUNRISE),,,PCS,,,,,,,,405,125.00,-50625.00,50625.00
INOX Special Shade 1Ltr. (TERRACOTTA),,,PCS,,,,,,,,79,479.43,-37875.00,37875.00
Inox Special Shade 1 Ltr. ( TWILIGHT ZONE),,,PCS,,,,,,,,141,125.00,-17625.00,17625.00
INOX Special Shade 1Ltr. (YELLOW),,,PCS,,,,,,,,11,125.00,-1375.00,1375.00
INOX Special Shade 4Ltr. (JOLLY HOLLY),,,PCS,,,,,,,,32,465.00,-14880.00,14880.00
INOX Special Shade 4Ltr. (NUT BROWN),,,PCS,,,,,,,,8,465.00,-3720.00,3720.00
INOX Special Shade 4Ltr. (ORANGE),,,PCS,,,,,,,,4,465.00,-1860.00,1860.00
Inox Special Shade 4 Ltr. ( PARROT GREEN),,,PCS,,,,,,,,8,465.00,-3720.00,3720.00
INOX Special Shade 4Ltr. (PINK),,,PCS,,,,,,,,1,465.00,-465.00,465.00
INOX Special Shade 4 Ltr. (SIGNAL RED),,,PCS,,,,,,,,92,566.09,-52080.00,52080.00
INOX Special Shade 4Ltr. (SUNRISE),,,PCS,,,,,,,,34,465.00,-15810.00,15810.00
INOX Special Shade 4 Ltr. (TERRACOTTA),,,PCS,,,,,,,,35,465.00,-16275.00,16275.00
INOX Special Shade 4Ltr. (WHITE),,,PCS,,,,,,,,62,465.00,-28830.00,28830.00
INOX Special Shade 4Ltr. (YELLOW),,,PCS,,,,,,,,64,465.00,-29760.00,29760.00
INOX Special Shade 500ml. (BLACK),,,PCS,,,,,,,,100,75.00,-7500.00,7500.00
INOX Special Shade 500Ml (JOLLY HOLLY),,,PCS,,,,,,,,162,87.59,-14190.00,14190.00
INOX Special Shade 500ml. (LM. SOUFFLE),,,PCS,,,,,,,,302,70.00,-21140.00,21140.00
INOX Special Shade 500ml. (MERRY PINK),,,PCS,,,,,,,,204,70.00,-14280.00,14280.00
INOX Special Shade 500 ML. (OXFORD BLUE),,,PCS,,,,,,,,48,75.00,-3600.00,3600.00
INOX Special Shade 500ml. (PARROT GREEN),,,PCS,,,,,,,,180,70.00,-12600.00,12600.00
INOX Special Shade 500ml. (PURPLE),,,PCS,,,,,,,,240,78.75,-18900.00,18900.00
INOX Special Shade 500ml. (SIGNAL RED),,,PCS,,,,,,,,1393,76.29,-106275.00,106275.00
INOX Special Shade 500ml. (SOOTHING SAPPHIRE),,,PCS,,,,,,,,48,87.50,-4200.00,4200.00
INOX Special Shade 500ml. (SUNRISE),,,PCS,,,,,,,,593,78.16,-46350.00,46350.00
INOX Special Shade 500ml. (TERRACOTTA),,,PCS,,,,,,,,596,61.88,-36881.06,36881.06
INOX Special Shade 500ml. (YELLOW),,,PCS,,,,,,,,88,90.34,-7950.00,7950.00
EMULSION SPECAIL SHADES (SAFARI),,,PCS,,,,,,,,5711,150.95,-862092.99,862092.99
SAFARI Special Shade 1Ltr. (JOLLY HOLLY),,,PCS,,,,,,,,142,144.55,-20525.45,20525.45
Safari Special Shade 1Ltr. ( LEMON SHOUFFLE),,,PCS,,,,,,,,117,155.00,-18135.00,18135.00
SAFARI Special Shade 1Ltr. (PINK),,,PCS,,,,,,,,150,161.20,-24180.00,24180.00
Safari Special Shade 1 LTR. (PURPLE),,,PCS,,,,,,,,108,165.00,-17820.00,17820.00
SAFARI Special Shade 1Ltr. (SIGNAL RED),,,PCS,,,,,,,,811,165.14,-133930.58,133930.58
SAFARI Special Shade 1Ltr. (SOOTHING SAPPHIRE),,,PCS,,,,,,,,150,164.12,-24617.65,24617.65
SAFARI Special Shade 1Ltr. (SUNRISE),,,PCS,,,,,,,,499,168.87,-84268.50,84268.50
SAFARI Special Shade 1Ltr. (TERRACOTTA),,,PCS,,,,,,,,337,159.88,-53879.80,53879.80
SAFARI Special Shade 1 Ltr. (WHITE),,,PCS,,,,,,,,18,155.00,-2790.00,2790.00
SAFARI Special Shade 1Ltr. (YELLOW),,,PCS,,,,,,,,206,174.08,-35861.01,35861.01
SAFARI Special Shade 4Ltr. (JOLLY HOLLY),,,PCS,,,,,,,,64,608.00,-38912.00,38912.00
Safari Special Shade 4Ltr. ( LEMON SHOUFFLE),,,PCS,,,,,,,,25,608.00,-15200.00,15200.00
Safari Special Shade 4Ltr. ( OXFORD BLUE),,,PCS,,,,,,,,13,608.00,-7904.00,7904.00
Safari Special Shade 4Ltr. ( SIGNAL RED),,,PCS,,,,,,,,2,648.00,-1296.00,1296.00
Safari Special Shade 4Ltr. (SOOTHING SAPPHIRE),,,PCS,,,,,,,,63,608.00,-38304.00,38304.00
SAFARI Special Shade 4LTR. ( SUNRISE),,,PCS,,,,,,,,10,648.00,-6480.00,6480.00
SAFARI Special Shade 4Ltr. (TERRACOTTA),,,PCS,,,,,,,,31,648.00,-20088.00,20088.00
SAFARI Special Shade 4Ltr. (WHITE),,,PCS,,,,,,,,6,608.00,-3648.00,3648.00
Safari Special Shade 4Ltr. ( YELLOW),,,PCS,,,,,,,,16,648.00,-10368.00,10368.00
Safari Special Shade 500 ML. (JOLLY HOLLY),,,PCS,,,,,,,,60,95.00,-5700.00,5700.00
Safari Special Shade 500 ML. (OXFORD BLUE),,,PCS,,,,,,,,252,90.00,-22680.00,22680.00
Safari Special Shade 500 ML. (PURPLE),,,PCS,,,,,,,,79,95.00,-7505.00,7505.00
Safari Special Shade 500 ML. (SIGNAL RED),,,PCS,,,,,,,,578,95.00,-54910.00,54910.00
Safari Special Shade 500 ML. (SOOTHING BLUE),,,PCS,,,,,,,,144,90.00,-12960.00,12960.00
Safari Special Shade 500 ML. (SUNRISE),,,PCS,,,,,,,,528,95.00,-50160.00,50160.00
Safari Special Shade 500 ML. (TERRACOTTA),,,PCS,,,,,,,,648,95.00,-61560.00,61560.00
Safari Special Shade 500 ML. (YELLOW),,,PCS,,,,,,,,216,95.00,-20520.00,20520.00
Safari Special Shase 1Ltr. ( OXFORD BLUE),,,PCS,,,,,,,,438,155.00,-67890.00,67890.00
INOX DISTEMPER BUCKET,,,PCS,,,,,,,,458,341.08,-156214.00,156214.00
INOX Acrylic Distemper 10kg (AQUAMARINE),,,PCS,,,,,,,,30,390.00,-11700.00,11700.00
INOX Acrylic Distemper 10kg (JAIPURIA PINK),,,BKT,,,,,,,,26,235.00,-6110.00,6110.00
INOX Acrylic Distemper 10kg (LIGHT GREEN),,,PCS,,,,,,,,22,235.00,-5170.00,5170.00
INOX Acrylic Distemper 10kg (LIRIL),,,PCS,,,,,,,,1,390.00,-390.00,390.00
INOX Acrylic Distemper 10kg (PALE ROSE),,,PCS,,,,,,,,4,235.00,-940.00,940.00
INOX Acrylic Distemper 10kg (PARROT GREEN),,,PCS,,,,,,,,20,390.00,-7800.00,7800.00
INOX Acrylic Distemper 10kg (SUNRISE),,,PCS,,,,,,,,6,415.00,-2490.00,2490.00
INOX Acrylic Distemper 20kg (AQUAMARINE),,,PCS,,,,,,,,6,680.00,-4080.00,4080.00
INOX Acrylic Distemper 20kg (DAFFODIL),,,PCS,,,,,,,,10,680.00,-6800.00,6800.00
INOX Acrylic Distemper 20kg (LIGHT GREEN),,,PCS,,,,,,,,1,680.00,-680.00,680.00
INOX Acrylic Distemper 20kg (LIRIL),,,PCS,,,,,,,,4,680.00,-2720.00,2720.00
INOX Acrylic Distemper 20kg (PALE ROSE),,,PCS,,,,,,,,20,608.00,-12160.00,12160.00
INOX Acrylic Distemper 20kg (PARROT GREEN),,,PCS,,,,,,,,21,608.00,-12768.00,12768.00
