stock_item_name,stock_group,stock_category,base_unit,alternate_unit,conversion_factor,gst_rate,hsn_code,item_code,barcode,brand,base_product_name,color,size,pack_size,opening_qty,opening_rate,opening_amount,source_hash,needs_review,notes
"Card, Book, Gift And Other Items",,,PCS,,,,,,,,"Card, Book, Gift And Other Items",,,,6212,25.01,-155382.14,a072dacd040c2e36,,
AIRTEL,,,,,,,,,,,AIRTEL,,,,,,-6378.36,e69e46cdfb2195e2,TRUE,
Bill Book,,,,,,,,,,,Bill Book,,,,,,-800.00,a0462d81d5b17a2b,TRUE,
Card,,,PCS,,,,,,,,Card,,,,1,460.00,-460.00,1138000ef7165085,,
CATRIDGE,,,PCS,,,,,,,,CATRIDGE,,,,2,635.59,-1271.18,c3974c05225637a2,,
Envelope,,,,,,,,,,,Envelope,,,,,,-2000.00,d555188636010e43,TRUE,
Flex,,,PCS,,,,,,,,Flex,,,,50,550.00,-27500.00,f6d75dd3730e54aa,,
Letterpad,,,,,,,,,,,Letterpad,,,,,,-1800.00,3094fc98abf38b7c,TRUE,
Mug Printing,,,,,,,,,,,Mug Printing,,,,,,-700.00,72d2301569f683ba,TRUE,
Pad (Book),,,PCS,,,,,,,,Pad (Book),,,,1977,17.00,-33609.00,e7cf93ba638dbe7c,,
Pen,,,PCS,,,,,,,,Pen,,,,995,6.00,-5970.00,da86d8732fd691c8,,
P.S.,,,PCS,,,,,,,,P.S.,,,,4,323.81,-1295.24,cf9f67caf7e01607,,
Saree,,,PCS,,,,,,,,Saree,,,,8,442.86,-3542.88,a3f67caf2ca8e176,,
Shade Card,,,PCS,,,,,,,,Shade Card,,,,2975,20.00,-59500.00,3236b6e62eaeb55b,,
Sticker,,,PCS,,,,,,,,Sticker,,,,100,6.00,-600.00,304c5c50ac6840fc,,
TONNER POWDER SAMSUNG,,,PCS,,,,,,,,TONNER POWDER SAMSUNG,,,,2,254.24,-508.48,91df3aaa1b22b628,,
Transperent Sticker,,,,,,,,,,,Transperent Sticker,,,,,,-70.00,7d1ce016ef7e2e5d,TRUE,
T- Shirt,,,PCS,,,,,,,,T- Shirt,,,,97,15.00,-1455.00,ec5b89406450675d,,
UPS ZEBRONIC (FRONTECH),,,PCS,,,,,,,,UPS ZEBRONIC (FRONTECH),,,,1,1822.00,-1822.00,a4b3ea63149b241e,,
Visiting Card,,,,,,,,,,,Visiting Card,,,,,,-6100.00,af3cb16fc9f09978,TRUE,
